sWL,sRC,sM,sSS,sTB,sPC,sLPP,sTIME
L,56.68,01.50,07,0.00000038,0.00041909,3.309%,01:00:34
L,28.96,01.33,07,0.00000025,0.00041934,3.309%,01:00:33
L,31.82,01.36,04,0.00000019,0.00041953,3.309%,01:00:32
L,71.17,01.20,07,0.00000014,0.00041967,3.309%,01:00:31
L,45.16,01.19,02,0.00000012,0.00041979,3.309%,01:00:29
L,43.37,01.08,07,0.00000011,0.00041989,3.309%,01:00:28
W,05.63,01.43,00,0.00000055,0.00041999,3.309%,01:00:27
L,89.61,01.50,07,0.00000038,0.00041912,3.309%,01:00:27
L,56.09,01.33,07,0.00000025,0.00041937,3.309%,01:00:26
L,45.07,01.36,04,0.00000019,0.00041956,3.309%,01:00:25
L,33.98,01.20,07,0.00000014,0.00041970,3.309%,01:00:24
L,60.20,01.19,02,0.00000012,0.00041982,3.309%,01:00:23
L,71.35,01.08,07,0.00000011,0.00041992,3.309%,01:00:22
W,24.33,01.34,00,0.00000262,0.00042002,3.309%,01:00:22
L,58.47,01.54,07,0.00000196,0.00041422,3.309%,01:00:21
L,83.45,01.96,08,0.00000127,0.00041549,3.309%,01:00:20
L,99.57,01.71,07,0.00000065,0.00041614,3.309%,01:00:19
L,56.56,01.50,07,0.00000038,0.00041652,3.309%,01:00:18
L,24.87,01.33,07,0.00000025,0.00041677,3.309%,01:00:17
L,74.59,01.36,04,0.00000019,0.00041696,3.309%,01:00:17
L,87.94,01.20,07,0.00000014,0.00041710,3.309%,01:00:16
L,16.64,01.19,02,0.00000012,0.00041722,3.309%,01:00:15
L,18.81,01.08,07,0.00000011,0.00041732,3.309%,01:00:14
W,24.14,01.65,00,0.00000107,0.00041742,3.309%,01:00:13
L,46.77,01.71,07,0.00000065,0.00041642,3.309%,01:00:13
L,69.94,01.50,07,0.00000038,0.00041680,3.309%,01:00:12
L,23.78,01.33,07,0.00000025,0.00041705,3.309%,01:00:11
L,75.62,01.36,04,0.00000019,0.00041724,3.309%,01:00:10
L,21.56,01.20,07,0.00000014,0.00041738,3.309%,01:00:09
L,51.89,01.19,02,0.00000012,0.00041750,3.309%,01:00:09
L,60.78,01.08,07,0.00000011,0.00041760,3.309%,01:00:08
W,24.39,01.43,00,0.00000055,0.00041770,3.309%,01:00:07
L,92.14,01.50,07,0.00000038,0.00041682,3.309%,01:00:06
L,14.96,01.33,07,0.00000025,0.00041707,3.309%,01:00:05
L,39.53,01.36,04,0.00000019,0.00041726,3.309%,01:00:05
L,53.72,01.20,07,0.00000014,0.00041740,3.309%,01:00:04
L,88.75,01.19,02,0.00000012,0.00041752,3.309%,01:00:03
L,97.32,01.08,07,0.00000011,0.00041762,3.309%,01:00:03
W,05.84,01.14,00,0.00000022,0.00041772,3.309%,01:00:02
L,33.98,01.36,04,0.00000019,0.00041634,3.309%,01:00:01
L,65.12,01.20,07,0.00000014,0.00041648,3.309%,01:00:00
L,97.18,01.19,02,0.00000012,0.00041660,3.309%,00:59:59
L,56.11,01.08,07,0.00000011,0.00041670,3.309%,00:59:58
W,01.73,01.21,00,0.00000017,0.00041680,3.309%,00:59:58
L,10.19,01.20,07,0.00000014,0.00041613,3.309%,00:59:57
L,66.54,01.19,02,0.00000012,0.00041625,3.309%,00:59:56
L,62.51,01.08,07,0.00000011,0.00041635,3.309%,00:59:55
W,33.71,01.52,00,0.00000521,0.00041645,3.309%,00:59:55
L,38.94,01.73,07,0.00000342,0.00040991,3.309%,00:59:54
L,53.35,01.54,07,0.00000198,0.00041189,3.309%,00:59:53
L,70.22,01.96,08,0.00000128,0.00041317,3.309%,00:59:52
L,63.36,01.71,07,0.00000065,0.00041382,3.309%,00:59:51
L,98.49,01.50,07,0.00000038,0.00041420,3.309%,00:59:51
L,36.26,01.33,07,0.00000025,0.00041445,3.309%,00:59:50
L,45.85,01.36,04,0.00000019,0.00041464,3.309%,00:59:48
L,40.48,01.20,07,0.00000014,0.00041478,3.309%,00:59:47
L,60.16,01.19,02,0.00000012,0.00041490,3.309%,00:59:47
L,86.29,01.08,07,0.00000011,0.00041500,3.309%,00:59:46
W,08.65,01.21,00,0.00000017,0.00041510,3.309%,00:59:45
L,90.33,01.20,07,0.00000014,0.00041443,3.309%,00:59:45
L,34.74,01.19,02,0.00000012,0.00041455,3.309%,00:59:44
L,72.96,01.08,07,0.00000011,0.00041465,3.309%,00:59:43
W,55.57,04.12,00,0.00240413,0.00041475,3.309%,00:59:42
L,99.06,04.25,06,0.00058282,0.00022824,3.309%,00:59:41
L,85.09,03.30,07,0.00013710,0.00036534,3.309%,00:59:41
L,81.34,02.71,07,0.00004160,0.00040694,3.309%,00:59:40
L,56.43,02.30,07,0.00001537,0.00042231,3.309%,00:59:39
L,98.99,01.95,05,0.00000668,0.00042899,3.309%,00:59:39
L,30.64,01.73,07,0.00000342,0.00043241,3.309%,00:59:38
L,77.47,01.54,07,0.00000198,0.00043439,3.309%,00:59:37
L,84.24,01.96,08,0.00000128,0.00043567,3.309%,00:59:36
L,77.59,01.71,07,0.00000065,0.00043632,3.309%,00:59:35
L,48.76,01.50,07,0.00000038,0.00043670,3.309%,00:59:34
L,54.80,01.33,07,0.00000025,0.00043695,3.309%,00:59:34
L,44.90,01.36,04,0.00000019,0.00043714,3.309%,00:59:33
L,45.91,01.21,07,0.00000014,0.00043728,3.309%,00:59:32
L,47.62,01.19,02,0.00000012,0.00043740,3.309%,00:59:32
L,10.28,01.08,07,0.00000011,0.00043750,3.309%,00:59:31
W,02.90,01.04,00,0.00000010,0.00043760,3.309%,00:59:30
W,00.15,01.04,00,0.00000010,0.00043523,3.294%,00:59:29
W,11.27,01.21,00,0.00000017,0.00043285,3.294%,00:59:28
L,62.19,01.20,07,0.00000014,0.00043218,3.294%,00:59:28
L,24.28,01.19,02,0.00000012,0.00043230,3.294%,00:59:27
L,82.97,01.08,07,0.00000011,0.00043240,3.294%,00:59:26
W,13.50,01.65,00,0.00000107,0.00043250,3.294%,00:59:25
L,80.60,01.71,07,0.00000065,0.00043150,3.294%,00:59:25
L,85.27,01.50,07,0.00000038,0.00043188,3.294%,00:59:24
L,77.56,01.33,07,0.00000025,0.00043213,3.294%,00:59:23
L,48.01,01.36,04,0.00000019,0.00043232,3.294%,00:59:22
L,30.91,01.20,07,0.00000014,0.00043246,3.294%,00:59:22
L,26.32,01.19,02,0.00000012,0.00043258,3.294%,00:59:21
L,28.72,01.08,07,0.00000011,0.00043268,3.294%,00:59:20
W,17.70,01.65,00,0.00000107,0.00043278,3.294%,00:59:19
L,80.26,01.71,07,0.00000065,0.00043178,3.294%,00:59:19
L,27.34,01.50,07,0.00000038,0.00043216,3.294%,00:59:18
L,62.14,01.33,07,0.00000025,0.00043241,3.294%,00:59:17
L,89.31,01.36,04,0.00000019,0.00043260,3.294%,00:59:16
L,47.71,01.20,07,0.00000014,0.00043274,3.294%,00:59:15
L,69.91,01.19,02,0.00000012,0.00043286,3.294%,00:59:15
L,09.16,01.08,07,0.00000011,0.00043296,3.294%,00:59:14
W,06.00,01.11,00,0.00000011,0.00043306,3.294%,00:59:13
L,95.71,01.08,07,0.00000011,0.00043217,3.294%,00:59:12
W,14.21,01.65,00,0.00000107,0.00043227,3.294%,00:59:11
L,79.37,01.71,07,0.00000065,0.00043127,3.294%,00:59:11
L,62.81,01.50,07,0.00000038,0.00043165,3.294%,00:59:09
L,74.35,01.33,07,0.00000025,0.00043190,3.294%,00:59:08
L,38.01,01.36,04,0.00000019,0.00043209,3.294%,00:59:08
L,57.17,01.20,07,0.00000014,0.00043223,3.294%,00:59:07
L,98.45,01.19,02,0.00000012,0.00043235,3.294%,00:59:06
L,69.24,01.08,07,0.00000011,0.00043245,3.294%,00:59:05
W,02.65,01.43,00,0.00000055,0.00043255,3.294%,00:59:05
L,62.51,01.50,07,0.00000038,0.00043167,3.294%,00:59:04
L,93.01,01.33,07,0.00000025,0.00043192,3.294%,00:59:03
L,98.86,01.36,04,0.00000019,0.00043211,3.294%,00:59:03
L,87.61,01.20,07,0.00000014,0.00043225,3.294%,00:59:02
L,10.63,01.19,02,0.00000012,0.00043237,3.294%,00:59:01
L,98.98,01.08,07,0.00000011,0.00043247,3.294%,00:59:00
W,07.61,01.83,00,0.00001223,0.00043257,3.294%,00:59:00
L,99.79,01.95,05,0.00000667,0.00042457,3.294%,00:58:59
L,90.09,01.73,07,0.00000342,0.00042799,3.294%,00:58:58
L,39.82,01.54,07,0.00000198,0.00042997,3.294%,00:58:57
L,64.77,01.96,08,0.00000128,0.00043125,3.294%,00:58:56
L,35.78,01.71,07,0.00000065,0.00043190,3.294%,00:58:56
L,84.62,01.50,07,0.00000038,0.00043228,3.294%,00:58:55
L,24.90,01.33,07,0.00000025,0.00043253,3.294%,00:58:54
L,58.73,01.36,04,0.00000019,0.00043272,3.294%,00:58:53
L,39.99,01.21,07,0.00000014,0.00043286,3.294%,00:58:53
L,14.94,01.19,02,0.00000012,0.00043298,3.294%,00:58:52
L,42.70,01.08,07,0.00000011,0.00043308,3.294%,00:58:51
W,30.62,02.20,00,0.00003381,0.00043318,3.294%,00:58:51
L,86.54,02.30,07,0.00001537,0.00042037,3.294%,00:58:50
L,95.76,01.95,05,0.00000668,0.00042705,3.294%,00:58:49
L,40.80,01.73,07,0.00000342,0.00043047,3.294%,00:58:48
L,38.03,01.54,07,0.00000198,0.00043245,3.294%,00:58:48
L,45.78,01.96,08,0.00000128,0.00043373,3.294%,00:58:47
L,63.30,01.71,07,0.00000065,0.00043438,3.294%,00:58:46
L,30.86,01.50,07,0.00000038,0.00043476,3.294%,00:58:45
L,66.96,01.33,07,0.00000025,0.00043501,3.294%,00:58:45
L,39.18,01.36,04,0.00000019,0.00043520,3.294%,00:58:44
L,24.28,01.21,07,0.00000014,0.00043534,3.294%,00:58:43
L,29.68,01.19,02,0.00000012,0.00043546,3.294%,00:58:43
L,87.29,01.08,07,0.00000011,0.00043556,3.294%,00:58:42
W,08.07,01.19,00,0.00000153,0.00043566,3.294%,00:58:41
L,98.75,01.96,08,0.00000128,0.00042902,3.258%,00:58:40
L,56.17,01.71,07,0.00000065,0.00042967,3.258%,00:58:40
L,68.10,01.50,07,0.00000038,0.00043005,3.258%,00:58:39
L,34.30,01.33,07,0.00000025,0.00043030,3.258%,00:58:38
L,24.35,01.36,04,0.00000019,0.00043049,3.258%,00:58:37
L,24.07,01.21,07,0.00000014,0.00043063,3.258%,00:58:37
L,40.30,01.19,02,0.00000012,0.00043075,3.258%,00:58:36
L,86.30,01.08,07,0.00000011,0.00043085,3.258%,00:58:35
W,09.94,01.34,00,0.00000265,0.00043095,3.258%,00:58:34
L,65.35,01.54,07,0.00000198,0.00042509,3.238%,00:58:34
L,73.78,01.96,08,0.00000128,0.00042637,3.238%,00:58:33
L,61.92,01.71,07,0.00000065,0.00042702,3.238%,00:58:31
L,31.41,01.50,07,0.00000038,0.00042740,3.238%,00:58:30
L,27.75,01.33,07,0.00000025,0.00042765,3.238%,00:58:29
L,59.39,01.36,04,0.00000019,0.00042784,3.238%,00:58:28
L,19.85,01.21,07,0.00000014,0.00042798,3.238%,00:58:27
L,50.15,01.19,02,0.00000012,0.00042810,3.238%,00:58:27
L,06.81,01.08,07,0.00000011,0.00042820,3.238%,00:58:26
W,03.83,01.04,00,0.00000010,0.00042830,3.238%,00:58:25
W,18.02,01.27,00,0.00000032,0.00042593,3.220%,00:58:24
L,21.57,01.33,07,0.00000025,0.00042500,3.218%,00:58:24
L,78.23,01.36,04,0.00000019,0.00042519,3.218%,00:58:23
L,68.39,01.21,07,0.00000014,0.00042533,3.218%,00:58:22
L,24.17,01.19,02,0.00000012,0.00042545,3.218%,00:58:21
L,05.28,01.08,07,0.00000011,0.00042555,3.218%,00:58:20
W,01.88,01.04,00,0.00000010,0.00042565,3.218%,00:58:19
W,00.09,01.43,00,0.00000055,0.00042327,3.201%,00:58:19
L,71.24,01.50,07,0.00000038,0.00042240,3.201%,00:58:18
L,86.05,01.33,07,0.00000025,0.00042265,3.201%,00:58:17
L,81.39,01.36,04,0.00000019,0.00042284,3.201%,00:58:17
L,32.80,01.21,07,0.00000014,0.00042298,3.201%,00:58:16
L,19.79,01.19,02,0.00000012,0.00042310,3.201%,00:58:15
L,27.86,01.08,07,0.00000011,0.00042320,3.201%,00:58:14
W,15.09,01.27,00,0.00000032,0.00042330,3.201%,00:58:13
L,42.58,01.33,07,0.00000025,0.00042237,3.198%,00:58:13
L,85.49,01.36,04,0.00000019,0.00042256,3.198%,00:58:12
L,09.59,01.21,07,0.00000014,0.00042270,3.198%,00:58:11
L,49.45,01.19,02,0.00000012,0.00042282,3.198%,00:58:11
L,36.09,01.08,07,0.00000011,0.00042292,3.198%,00:58:10
W,08.75,01.14,00,0.00000022,0.00042302,3.198%,00:58:09
L,87.93,01.36,04,0.00000019,0.00042164,3.192%,00:58:08
L,78.98,01.21,07,0.00000014,0.00042178,3.192%,00:58:08
L,10.11,01.19,02,0.00000012,0.00042190,3.192%,00:58:07
L,72.93,01.08,07,0.00000011,0.00042200,3.192%,00:58:06
W,10.14,01.27,00,0.00000032,0.00042210,3.192%,00:58:05
L,38.76,01.33,07,0.00000025,0.00042117,3.192%,00:58:05
L,45.80,01.36,04,0.00000019,0.00042136,3.192%,00:58:04
L,82.98,01.21,07,0.00000014,0.00042150,3.192%,00:58:03
L,17.84,01.19,02,0.00000012,0.00042162,3.192%,00:58:02
L,55.88,01.08,07,0.00000011,0.00042172,3.192%,00:58:01
W,09.57,01.27,00,0.00000032,0.00042182,3.192%,00:58:00
L,32.23,01.33,07,0.00000025,0.00042090,3.192%,00:58:00
L,22.77,01.36,04,0.00000019,0.00042109,3.192%,00:57:59
L,39.58,01.21,07,0.00000014,0.00042123,3.192%,00:57:58
L,96.87,01.19,02,0.00000012,0.00042135,3.192%,00:57:57
L,38.97,01.08,07,0.00000011,0.00042145,3.192%,00:57:56
W,03.27,01.83,00,0.00001225,0.00042155,3.192%,00:57:56
L,62.64,01.95,05,0.00000668,0.00041353,3.192%,00:57:55
L,83.83,01.73,07,0.00000342,0.00041695,3.192%,00:57:54
L,92.53,01.54,07,0.00000198,0.00041893,3.192%,00:57:53
L,54.93,01.96,08,0.00000128,0.00042021,3.192%,00:57:53
L,35.64,01.71,07,0.00000065,0.00042086,3.192%,00:57:51
L,45.24,01.50,07,0.00000038,0.00042124,3.192%,00:57:51
L,42.69,01.33,07,0.00000025,0.00042149,3.192%,00:57:50
L,65.92,01.36,04,0.00000019,0.00042168,3.192%,00:57:49
L,12.12,01.21,07,0.00000014,0.00042182,3.192%,00:57:48
L,17.80,01.19,02,0.00000012,0.00042194,3.192%,00:57:48
L,34.92,01.08,07,0.00000011,0.00042204,3.192%,00:57:47
W,01.19,01.04,00,0.00000010,0.00042214,3.192%,00:57:46
W,16.97,01.21,00,0.00000017,0.00041977,3.175%,00:57:45
L,13.43,01.21,07,0.00000014,0.00041909,3.175%,00:57:44
L,18.29,01.19,02,0.00000012,0.00041921,3.175%,00:57:44
L,15.31,01.08,07,0.00000011,0.00041931,3.175%,00:57:43
W,22.27,01.43,00,0.00000055,0.00041941,3.175%,00:57:42
L,81.15,01.50,07,0.00000038,0.00041854,3.175%,00:57:41
L,86.49,01.33,07,0.00000025,0.00041879,3.175%,00:57:41
L,84.56,01.36,04,0.00000019,0.00041898,3.175%,00:57:40
L,85.55,01.21,07,0.00000014,0.00041912,3.175%,00:57:39
L,25.42,01.19,02,0.00000012,0.00041924,3.175%,00:57:38
L,51.80,01.08,07,0.00000011,0.00041934,3.175%,00:57:38
W,00.10,01.43,00,0.00000055,0.00041944,3.175%,00:57:37
L,56.12,01.50,07,0.00000038,0.00041856,3.175%,00:57:36
L,52.99,01.33,07,0.00000025,0.00041881,3.175%,00:57:35
L,40.08,01.36,04,0.00000019,0.00041900,3.175%,00:57:35
L,74.05,01.21,07,0.00000014,0.00041914,3.175%,00:57:34
L,34.80,01.19,02,0.00000012,0.00041926,3.175%,00:57:33
L,78.38,01.08,07,0.00000011,0.00041936,3.175%,00:57:32
W,23.29,01.65,00,0.00000107,0.00041946,3.175%,00:57:32
L,75.32,01.71,07,0.00000065,0.00041846,3.175%,00:57:31
L,68.43,01.50,07,0.00000038,0.00041884,3.175%,00:57:30
L,21.75,01.33,07,0.00000025,0.00041909,3.175%,00:57:30
L,82.16,01.36,04,0.00000019,0.00041928,3.175%,00:57:29
L,75.97,01.21,07,0.00000014,0.00041942,3.175%,00:57:28
L,99.65,01.19,02,0.00000012,0.00041954,3.175%,00:57:27
L,17.08,01.08,07,0.00000011,0.00041964,3.175%,00:57:26
W,12.29,01.21,00,0.00000017,0.00041974,3.175%,00:57:26
L,90.70,01.21,07,0.00000014,0.00041907,3.175%,00:57:25
L,10.20,01.19,02,0.00000012,0.00041919,3.175%,00:57:24
L,76.57,01.08,07,0.00000011,0.00041929,3.175%,00:57:24
W,32.35,01.83,00,0.00001225,0.00041939,3.175%,00:57:23
L,38.09,01.95,05,0.00000668,0.00041137,3.175%,00:57:22
L,43.77,01.73,07,0.00000342,0.00041479,3.175%,00:57:21
L,28.65,01.54,07,0.00000198,0.00041677,3.175%,00:57:21
L,39.93,01.96,08,0.00000128,0.00041805,3.175%,00:57:19
L,77.05,01.71,07,0.00000065,0.00041870,3.175%,00:57:19
L,69.54,01.50,07,0.00000038,0.00041908,3.175%,00:57:18
L,75.91,01.33,07,0.00000025,0.00041933,3.175%,00:57:17
L,71.26,01.36,04,0.00000019,0.00041952,3.175%,00:57:17
L,92.49,01.21,07,0.00000014,0.00041966,3.175%,00:57:16
L,30.04,01.19,02,0.00000012,0.00041978,3.175%,00:57:15
L,75.48,01.08,07,0.00000011,0.00041988,3.175%,00:57:14
W,00.98,01.04,00,0.00000010,0.00041998,3.175%,00:57:13
W,02.25,01.27,00,0.00000032,0.00041761,3.158%,00:57:12
L,92.63,01.33,07,0.00000025,0.00041668,3.156%,00:57:12
L,92.52,01.36,04,0.00000019,0.00041687,3.156%,00:57:11
L,89.05,01.21,07,0.00000014,0.00041701,3.156%,00:57:10
L,52.77,01.19,02,0.00000012,0.00041713,3.156%,00:57:09
L,57.62,01.08,07,0.00000011,0.00041723,3.156%,00:57:08
W,19.34,01.43,00,0.00000055,0.00041733,3.156%,00:57:07
L,78.78,01.50,07,0.00000038,0.00041645,3.156%,00:57:07
L,70.57,01.33,07,0.00000025,0.00041670,3.156%,00:57:06
L,62.36,01.36,04,0.00000019,0.00041689,3.156%,00:57:05
L,77.55,01.21,07,0.00000014,0.00041703,3.156%,00:57:05
L,78.27,01.19,02,0.00000012,0.00041715,3.156%,00:57:04
L,52.99,01.08,07,0.00000011,0.00041725,3.156%,00:57:03
W,02.27,01.14,00,0.00000022,0.00041735,3.156%,00:57:02
L,53.78,01.36,04,0.00000019,0.00041598,3.149%,00:57:01
L,47.79,01.21,07,0.00000014,0.00041612,3.149%,00:57:01
L,29.22,01.19,02,0.00000012,0.00041624,3.149%,00:57:00
L,69.92,01.08,07,0.00000011,0.00041634,3.149%,00:56:59
W,06.65,01.21,00,0.00000017,0.00041644,3.149%,00:56:58
L,42.77,01.21,07,0.00000014,0.00041576,3.146%,00:56:58
L,79.27,01.19,02,0.00000012,0.00041588,3.146%,00:56:57
L,32.94,01.08,07,0.00000011,0.00041598,3.146%,00:56:56
W,00.83,01.04,00,0.00000010,0.00041608,3.146%,00:56:55
W,11.45,01.83,00,0.00001223,0.00041371,3.133%,00:56:55
L,67.91,01.95,05,0.00000667,0.00040570,3.133%,00:56:54
L,71.90,01.73,07,0.00000342,0.00040912,3.133%,00:56:53
L,91.88,01.54,07,0.00000198,0.00041110,3.133%,00:56:53
L,74.35,01.96,08,0.00000128,0.00041238,3.133%,00:56:52
L,75.24,01.71,07,0.00000065,0.00041303,3.133%,00:56:51
L,26.72,01.50,07,0.00000038,0.00041341,3.133%,00:56:50
L,25.43,01.33,07,0.00000025,0.00041366,3.133%,00:56:50
L,65.53,01.36,04,0.00000019,0.00041385,3.133%,00:56:49
L,42.44,01.21,07,0.00000014,0.00041399,3.133%,00:56:48
L,45.04,01.19,02,0.00000012,0.00041411,3.133%,00:56:48
L,95.60,01.08,07,0.00000011,0.00041421,3.133%,00:56:47
W,09.84,01.21,00,0.00000017,0.00041431,3.133%,00:56:46
L,79.85,01.21,07,0.00000014,0.00041364,3.130%,00:56:46
L,41.83,01.19,02,0.00000012,0.00041376,3.130%,00:56:45
L,76.05,01.08,07,0.00000011,0.00041386,3.130%,00:56:44
W,09.60,01.11,00,0.00000011,0.00041396,3.130%,00:56:43
L,07.22,01.08,07,0.00000011,0.00041307,3.124%,00:56:43
W,17.14,01.27,00,0.00000032,0.00041317,3.124%,00:56:42
L,21.51,01.33,07,0.00000025,0.00041224,3.122%,00:56:41
L,22.85,01.36,04,0.00000019,0.00041243,3.122%,00:56:41
L,11.79,01.20,07,0.00000014,0.00041257,3.122%,00:56:40
L,29.82,01.19,02,0.00000012,0.00041269,3.122%,00:56:39
L,25.98,01.08,07,0.00000011,0.00041279,3.122%,00:56:38
W,33.42,01.52,00,0.00000521,0.00041289,3.122%,00:56:38
L,40.52,01.73,07,0.00000342,0.00040635,3.112%,00:56:37
L,49.95,01.54,07,0.00000198,0.00040833,3.112%,00:56:35
L,50.11,01.96,08,0.00000128,0.00040961,3.112%,00:56:35
L,97.23,01.71,07,0.00000065,0.00041026,3.112%,00:56:34
L,95.43,01.50,07,0.00000038,0.00041064,3.112%,00:56:33
L,63.14,01.33,07,0.00000025,0.00041089,3.112%,00:56:32
L,47.35,01.36,04,0.00000019,0.00041108,3.112%,00:56:32
L,25.25,01.21,07,0.00000014,0.00041122,3.112%,00:56:31
L,11.09,01.19,02,0.00000012,0.00041134,3.112%,00:56:30
L,34.00,01.08,07,0.00000011,0.00041144,3.112%,00:56:29
W,12.62,01.19,00,0.00000153,0.00041154,3.112%,00:56:29
L,91.98,01.96,08,0.00000128,0.00040490,3.076%,00:56:28
L,46.63,01.71,07,0.00000065,0.00040555,3.076%,00:56:27
L,81.40,01.50,07,0.00000038,0.00040593,3.076%,00:56:26
L,74.33,01.33,07,0.00000025,0.00040618,3.076%,00:56:26
L,29.39,01.36,04,0.00000019,0.00040637,3.076%,00:56:25
L,90.88,01.21,07,0.00000014,0.00040651,3.076%,00:56:24
L,16.67,01.19,02,0.00000012,0.00040663,3.076%,00:56:24
L,89.62,01.08,07,0.00000011,0.00040673,3.076%,00:56:23
W,04.64,01.21,00,0.00000017,0.00040683,3.076%,00:56:22
L,72.16,01.21,07,0.00000014,0.00040615,3.073%,00:56:21
L,67.02,01.19,02,0.00000012,0.00040627,3.073%,00:56:21
L,16.47,01.08,07,0.00000011,0.00040637,3.073%,00:56:20
W,04.40,01.11,00,0.00000011,0.00040647,3.073%,00:56:19
L,48.99,01.08,07,0.00000011,0.00040558,3.067%,00:56:19
W,06.43,01.14,00,0.00000022,0.00040568,3.067%,00:56:18
L,96.64,01.36,04,0.00000019,0.00040431,3.060%,00:56:17
L,34.57,01.20,07,0.00000014,0.00040445,3.060%,00:56:17
L,85.40,01.19,02,0.00000012,0.00040457,3.060%,00:56:16
L,74.15,01.08,07,0.00000011,0.00040467,3.060%,00:56:15
W,17.52,01.52,00,0.00000521,0.00040477,3.060%,00:56:14
L,73.94,01.73,07,0.00000342,0.00039823,3.055%,00:56:14
L,62.21,01.54,07,0.00000198,0.00040021,3.055%,00:56:13
L,60.04,01.96,08,0.00000128,0.00040149,3.055%,00:56:12
L,64.39,01.71,07,0.00000065,0.00040214,3.055%,00:56:11
L,37.85,01.50,07,0.00000038,0.00040252,3.055%,00:56:11
L,93.06,01.33,07,0.00000025,0.00040277,3.055%,00:56:10
L,97.06,01.36,04,0.00000019,0.00040296,3.055%,00:56:09
L,94.07,01.21,07,0.00000014,0.00040310,3.055%,00:56:09
L,18.25,01.19,02,0.00000012,0.00040322,3.055%,00:56:08
L,97.44,01.08,07,0.00000011,0.00040332,3.055%,00:56:07
W,24.78,01.65,00,0.00000107,0.00040342,3.055%,00:56:06
L,77.83,01.71,07,0.00000065,0.00040242,3.055%,00:56:06
L,61.25,01.50,07,0.00000038,0.00040280,3.055%,00:56:05
L,52.11,01.33,07,0.00000025,0.00040305,3.055%,00:56:04
L,69.26,01.36,04,0.00000019,0.00040324,3.055%,00:56:04
L,56.03,01.21,07,0.00000014,0.00040338,3.055%,00:56:03
L,98.56,01.19,02,0.00000012,0.00040350,3.055%,00:56:02
L,25.96,01.08,07,0.00000011,0.00040360,3.055%,00:56:01
W,34.23,01.65,00,0.00000107,0.00040370,3.055%,00:56:01
L,60.16,01.71,07,0.00000065,0.00040270,3.055%,00:56:00
L,62.20,01.50,07,0.00000038,0.00040308,3.055%,00:55:59
L,53.94,01.33,07,0.00000025,0.00040333,3.055%,00:55:58
L,35.86,01.36,04,0.00000019,0.00040352,3.055%,00:55:57
L,45.75,01.21,07,0.00000014,0.00040366,3.055%,00:55:56
L,62.30,01.19,02,0.00000012,0.00040378,3.055%,00:55:56
L,31.77,01.08,07,0.00000011,0.00040388,3.055%,00:55:55
W,11.26,01.14,00,0.00000022,0.00040398,3.055%,00:55:54
L,30.83,01.36,04,0.00000019,0.00040260,3.048%,00:55:53
L,75.03,01.21,07,0.00000014,0.00040274,3.048%,00:55:52
L,87.55,01.19,02,0.00000012,0.00040286,3.048%,00:55:52
L,88.18,01.08,07,0.00000011,0.00040296,3.048%,00:55:51
W,02.49,01.14,00,0.00000022,0.00040306,3.048%,00:55:50
L,47.69,01.36,04,0.00000019,0.00040168,3.043%,00:55:49
L,78.62,01.21,07,0.00000014,0.00040182,3.043%,00:55:49
L,52.57,01.19,02,0.00000012,0.00040194,3.043%,00:55:48
L,88.13,01.08,07,0.00000011,0.00040204,3.043%,00:55:47
W,19.96,01.65,00,0.00000107,0.00040214,3.043%,00:55:46
L,41.48,01.71,07,0.00000065,0.00040114,3.043%,00:55:46
L,82.13,01.50,07,0.00000038,0.00040152,3.043%,00:55:45
L,58.89,01.33,07,0.00000025,0.00040177,3.043%,00:55:44
L,47.64,01.36,04,0.00000019,0.00040196,3.043%,00:55:43
L,23.30,01.21,07,0.00000014,0.00040210,3.043%,00:55:43
L,49.17,01.19,02,0.00000012,0.00040222,3.043%,00:55:42
L,23.31,01.08,07,0.00000011,0.00040232,3.043%,00:55:41
W,04.87,01.14,00,0.00000022,0.00040242,3.043%,00:55:40
L,94.25,01.36,04,0.00000019,0.00040105,3.036%,00:55:40
L,44.44,01.21,07,0.00000014,0.00040119,3.036%,00:55:39
L,64.65,01.19,02,0.00000012,0.00040131,3.036%,00:55:38
L,61.84,01.08,07,0.00000011,0.00040141,3.036%,00:55:37
W,13.79,01.21,00,0.00000017,0.00040151,3.036%,00:55:37
L,44.39,01.21,07,0.00000014,0.00040083,3.033%,00:55:36
L,87.84,01.19,02,0.00000012,0.00040095,3.033%,00:55:35
L,84.74,01.08,07,0.00000011,0.00040105,3.033%,00:55:35
W,06.43,01.11,00,0.00000011,0.00040115,3.033%,00:55:34
L,49.81,01.08,07,0.00000011,0.00040026,3.027%,00:55:33
W,13.31,01.27,00,0.00000032,0.00040036,3.027%,00:55:32
L,93.18,01.33,07,0.00000025,0.00039943,3.025%,00:55:32
L,48.98,01.36,04,0.00000019,0.00039962,3.025%,00:55:31
L,19.72,01.20,07,0.00000014,0.00039976,3.025%,00:55:30
L,70.52,01.19,02,0.00000012,0.00039988,3.025%,00:55:29
L,20.02,01.08,07,0.00000011,0.00039998,3.025%,00:55:29
W,08.05,01.11,00,0.00000011,0.00040008,3.025%,00:55:28
L,05.70,01.08,07,0.00000011,0.00039919,3.022%,00:55:27
W,07.22,01.09,00,0.00000013,0.00039929,3.022%,00:55:27
L,58.22,01.19,02,0.00000012,0.00039793,3.022%,00:55:26
